date,business_id,revenue_booked,cash_collected,receivables_outstanding,revenue_7d_avg,revenue_30d_avg,revenue_7d_std,revenue_30d_std,collections_7d_avg,collections_30d_avg,collection_ratio_30d,receivables_change_7d,receivables_change_30d,receivables_to_revenue_30d,day_of_week,month,is_weekend
2019-04-02,U001,3303201.47,4028258.38,45460368.98999995,2971603.8357142857,2796688.1689999998,926172.0719277106,852147.8469638552,2758205.2757142857,2731260.5883333334,0.9766053357711093,1493789.919999987,1962827.4199999273,0.5418357505126623,1,4,0
2019-04-03,U001,3350212.46,2754543.53,46056037.91999996,2857689.4914285713,2769102.052,797525.3535924742,818632.6532211851,2811263.054285714,2672754.2113333335,0.9652061069410285,324985.0600000024,2890435.219999939,0.5544040035979139,2,4,0
2019-04-04,U001,2979107.51,3158470.82,45876674.609999955,2819380.34,2761762.7996666664,781982.0052750942,815624.409055036,2808947.6257142858,2682913.312333333,0.9714495801946313,73029.0,2365484.6199999303,0.5537124648013108,3,4,0
2019-04-05,U001,2532722.2,3878231.3,44531165.50999993,2624375.7442857143,2731307.2983333333,622102.6085845655,806182.4677495296,2675791.9428571425,2749419.1316666664,1.0066311957443912,-359913.3900000155,-543355.0000001043,0.5434658284596686,4,4,0
2019-04-06,U001,2264222.33,5743.2,46789644.639999956,2654677.042857143,2691294.8236666666,594119.6373333714,798282.6445203116,2669944.8257142855,2657015.5653333333,0.987262912248822,-106874.47999998927,1028377.7499999255,0.5795183818651393,5,4,1
2019-04-07,U001,1327492.14,0.0,48117136.77999994,2600404.4557142854,2639670.093,702535.4924451362,835137.8595689455,2669944.8257142855,2506706.8896666667,0.9496288556339176,-486782.5900000036,3988896.0999999046,0.6076155363454852,6,4,1
2019-04-08,U001,3134129.42,4133271.47,47117994.72999993,2698726.79,2681307.589333333,725103.2260256318,827317.2591456642,2565502.6714285715,2643177.863333333,0.9857794286072638,932568.8299999833,1143891.779999897,0.5857589150090151,0,4,0
2019-04-09,U001,3569227.89,3360671.33,47326551.2899999,2736730.564285714,2752866.0893333335,767780.4209404599,807278.9686508061,2470133.0928571424,2755200.2409999995,1.0008478987320562,1866182.2999999523,-70024.55000011623,0.5730579179929169,1,4,0
2019-04-10,U001,2231308.95,3068271.69,46489588.54999989,2576887.205714286,2713162.342,734525.0535254386,802489.8025499493,2514951.401428572,2709542.5829999996,0.9986658524099475,433550.6299999356,108592.76999986172,0.5711611604207733,2,4,0
2019-04-11,U001,2849078.47,3168709.81,46169957.20999989,2558311.6285714284,2705467.4996666666,724229.9211633605,799954.5152055488,2516414.1142857145,2709979.736333333,1.0016678214272479,293282.59999993443,-135367.10000014305,0.5688475554987369,3,4,0
2019-04-12,U001,3609098.5300000003,3693861.55,46085194.18999988,2712079.6757142856,2718469.479333333,825130.2805571642,811673.6908155852,2490075.5785714285,2740335.2596666664,1.0080434157894962,1554028.6799999475,-655973.4100001454,0.565087506534518,4,4,0
2019-04-13,U001,2023834.05,94247.48999999999,48014780.74999985,2677738.4928571433,2667184.486,851458.6015262748,805092.276333311,2502719.0485714287,2651185.8030000003,0.9940016586464204,1225136.109999895,479960.4899998307,0.6000682367746277,5,4,1
2019-04-14,U001,1247340.04,0.0,49262120.78999987,2666288.192857143,2592098.5856666667,872911.5319454335,829424.6361341143,2502719.0485714287,2536833.9756666664,0.978679587919382,1144984.0099999309,1657938.299999833,0.6334908332885295,6,4,1
2019-04-15,U001,3176539.25,5803338.08,46635321.95999986,2672346.7399999998,2635750.8290000004,876838.1683798551,824391.2756505227,2741299.992857143,2730278.578333333,1.035863689501028,-482672.77000007033,-2835832.480000168,0.5897790925061662,0,4,0
2019-04-16,U001,2856270.08,3369138.87,46122453.16999984,2570495.6242857142,2694136.9633333334,792662.968578298,772617.7947861853,2742509.641428571,2842583.2073333333,1.0550997391819064,-1204098.1200000644,-4453387.320000201,0.5706521704689012,1,4,0
2019-04-17,U001,2979409.41,2878847.63,46223014.94999987,2677367.118571429,2691798.435666667,789736.2176311688,771610.4183931182,2715449.0614285716,2746534.158666667,1.020334257674997,-266573.60000002384,-1642071.6900001764,0.5723932165888194,2,4,0
2019-04-18,U001,3560090.9,3262283.26,46520822.589999855,2778940.322857143,2713914.7333333334,858253.6955856313,787037.4370598743,2728816.697142857,2702324.1129999994,0.9957291877335078,350865.37999996543,347718.6099998057,0.5713864430916394,3,4,0
2019-04-19,U001,3343748.55,3352759.52,46511811.619999856,2741033.1828571423,2727957.425666667,820506.2930531692,794608.7790332224,2680087.8357142857,2703043.735666667,0.9908672731599132,426617.42999997735,747410.6999998093,0.5683350136183931,4,4,0
2019-04-20,U001,1484842.41,66532.74,47930121.28999987,2664034.377142857,2671980.6180000002,918469.9605602721,821515.8835613095,2676128.5857142853,2600957.3586666663,0.9734192460623103,-84659.45999997854,2130697.779999852,0.5979349920818409,5,4,1
